GF(11^2),0,1,x,10x + 4,5x + 7,2x + 9,7x + 8,x + 6,5x + 4,10x + 9,10x + 7,8x + 7,10x + 10,7,7x,4x + 6,2x + 5,3x + 8,5x + 1,7x + 9,2x + 6,4x + 8,4x + 5,x + 5,4x + 4,5,5x,6x + 9,3x + 2,10x + 1,2x + 7,5x + 8,3x + 9,6x + 1,6x + 2,7x + 2,6x + 6,2,2x,9x + 8,10x + 3,4x + 7,3x + 5,2x + 1,10x + 8,9x + 7,9x + 3,5x + 3,9x + 9,3,3x,8x + 1,4x + 10,6x + 5,10x + 2,3x + 7,4x + 1,8x + 5,8x + 10,2x + 10,8x + 8,10,10x,x + 7,6x + 4,9x + 2,4x + 3,10x + 5,6x + 7,x + 2,x + 4,3x + 4,x + 1,4,4x,7x + 5,9x + 6,8x + 3,6x + 10,4x + 2,9x + 5,7x + 3,7x + 6,10x + 6,7x + 7,6,6x,5x + 2,8x + 9,x + 10,9x + 4,6x + 3,8x + 2,5x + 10,5x + 9,4x + 9,5x + 5,9,9x,2x + 3,x + 8,7x + 4,8x + 6,9x + 10,x + 3,2x + 4,2x + 8,6x + 8,2x + 2,8,8x,3x + 10,7x + 1,5x + 6,x + 9,8x + 4,7x + 10,3x + 6,3x + 1,9x + 1,3x + 3,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
0,1,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,80,1,0,40,121
1,2,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,40,60,3,18,120
x,2,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,3,1,0,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,3,1,0,0,0,1,40,60,1,20,122
10x + 4,2,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,40,60,3,18,120
5x + 7,2,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,3,1,0,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,3,1,0,40,60,1,20,122
2x + 9,2,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,40,60,3,18,120
7x + 8,2,3,1,0,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,3,1,0,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,40,60,1,20,122
x + 6,2,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,40,60,3,18,120
5x + 4,2,1,1,1,3,1,0,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,1,1,1,3,1,0,0,0,1,0,0,1,1,3,1,1,1,3,1,0,3,0,3,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,3,0,1,3,1,1,0,0,3,0,3,1,0,1,0,0,0,3,1,1,0,1,40,60,1,20,122
10x + 9,2,0,1,3,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,2,1,1,0,1,1,3,1,0,1,3,1,3,3,1,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,3,1,1,1,1,0,40,60,3,18,120
