GF(5^2),0,1,x,4x + 3,4x + 2,3x + 2,4x + 4,2,2x,3x + 1,3x + 4,x + 4,3x + 3,4,4x,x + 2,x + 3,2x + 3,x + 1,3,3x,2x + 4,2x + 1,4x + 1,2x + 2,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
0,1,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,16,1,0,8,25
1,2,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,8,12,3,2,24
x,2,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,8,12,1,4,26
4x + 3,2,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,8,12,3,2,24
4x + 2,2,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,8,12,1,4,26
3x + 2,2,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,8,12,3,2,24
4x + 4,2,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,8,12,1,4,26
2,2,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,8,12,3,2,24
2x,2,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,8,12,1,4,26
3x + 1,2,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,8,12,3,2,24
3x + 4,2,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,8,12,1,4,26
x + 4,2,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,8,12,3,2,24
3x + 3,2,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,8,12,1,4,26
4,2,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,8,12,3,2,24
4x,2,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,8,12,1,4,26
x + 2,2,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,8,12,3,2,24
x + 3,2,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,8,12,1,4,26
2x + 3,2,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,8,12,3,2,24
x + 1,2,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,8,12,1,4,26
3,2,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,8,12,3,2,24
3x,2,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,8,12,1,4,26
2x + 4,2,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,8,12,3,2,24
2x + 1,2,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,8,12,1,4,26
4x + 1,2,0,1,1,0,1,1,3,0,1,2,1,0,0,1,1,0,1,1,3,0,1,2,1,0,8,12,3,2,24
2x + 2,2,1,1,1,0,1,3,1,3,0,0,0,1,1,1,1,0,1,3,1,3,0,0,0,1,8,12,1,4,26
0 soln's,0,12,7,7,12,7,7,12,7,7,12,7,7,12,7,7,12,7,7,12,7,7,12,7,7,,,,,
1 soln's,1,6,15,15,6,15,15,6,15,15,6,15,15,6,15,15,6,15,15,6,15,15,6,15,15,,,,,
2 soln's,24,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,,,,,
3 soln's,0,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,,,,,
Total soln's,49,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,,,,
