GF(11^1),0,1,8,9,6,4,10,3,2,5,7,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
0,1,1,1,1,1,1,1,1,1,1,1,0,11,0,0,11
1,2,2,0,1,0,1,2,0,1,0,1,4,4,3,0,10
8,2,0,1,1,3,0,0,1,1,3,0,4,4,1,2,12
9,2,1,0,1,2,0,1,0,1,2,0,4,4,3,0,10
6,2,1,3,0,0,1,1,3,0,0,1,4,4,1,2,12
4,2,1,2,0,1,0,1,2,0,1,0,4,4,3,0,10
10,2,0,0,1,1,3,0,0,1,1,3,4,4,1,2,12
3,2,0,1,0,1,2,0,1,0,1,2,4,4,3,0,10
2,2,1,1,3,0,0,1,1,3,0,0,4,4,1,2,12
5,2,0,1,2,0,1,0,1,2,0,1,4,4,3,0,10
7,2,3,0,0,1,1,3,0,0,1,1,4,4,1,2,12
0 soln's,0,4,4,4,4,4,4,4,4,4,4,,,,,
1 soln's,1,5,5,5,5,5,5,5,5,5,5,,,,,
2 soln's,10,1,1,1,1,1,1,1,1,1,1,,,,,
3 soln's,0,1,1,1,1,1,1,1,1,1,1,,,,,
Total soln's,21,10,10,10,10,10,10,10,10,10,10,,,,,
