GF(13^2),0,1,x,12x + 11,12x + 2,3x + 2,12x + 7,8x + 2,7x + 10,3x + 12,9x + 7,11x + 8,10x + 4,7x + 6,12x + 12,2,2x,11x + 9,11x + 4,6x + 4,11x + 1,3x + 4,x + 7,6x + 11,5x + 1,9x + 3,7x + 8,x + 12,11x + 11,4,4x,9x + 5,9x + 8,12x + 8,9x + 2,6x + 8,2x + 1,12x + 9,10x + 2,5x + 6,x + 3,2x + 11,9x + 9,8,8x,5x + 10,5x + 3,11x + 3,5x + 4,12x + 3,4x + 2,11x + 5,7x + 4,10x + 12,2x + 6,4x + 9,5x + 5,3,3x,10x + 7,10x + 6,9x + 6,10x + 8,11x + 6,8x + 4,9x + 10,x + 8,7x + 11,4x + 12,8x + 5,10x + 10,6,6x,7x + 1,7x + 12,5x + 12,7x + 3,9x + 12,3x + 8,5x + 7,2x + 3,x + 9,8x + 11,3x + 10,7x + 7,12,12x,x + 2,x + 11,10x + 11,x + 6,5x + 11,6x + 3,10x + 1,4x + 6,2x + 5,3x + 9,6x + 7,x + 1,11,11x,2x + 4,2x + 9,7x + 9,2x + 12,10x + 9,12x + 6,7x + 2,8x + 12,4x + 10,6x + 5,12x + 1,2x + 2,9,9x,4x + 8,4x + 5,x + 5,4x + 11,7x + 5,11x + 12,x + 4,3x + 11,8x + 7,12x + 10,11x + 2,4x + 4,5,5x,8x + 3,8x + 10,2x + 10,8x + 9,x + 10,9x + 11,2x + 8,6x + 9,3x + 1,11x + 7,9x + 4,8x + 8,10,10x,3x + 6,3x + 7,4x + 7,3x + 5,2x + 7,5x + 9,4x + 3,12x + 5,6x + 2,9x + 1,5x + 8,3x + 3,7,7x,6x + 12,6x + 1,8x + 1,6x + 10,4x + 1,10x + 5,8x + 6,11x + 10,12x + 4,5x + 2,10x + 3,6x + 6,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
0,1,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,112,1,0,56,169
1,2,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,0,0,1,56,84,3,26,168
x,2,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,3,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,3,0,0,1,56,84,1,28,170
12x + 11,2,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,56,84,3,26,168
12x + 2,2,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,3,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,3,56,84,1,28,170
3x + 2,2,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,56,84,3,26,168
12x + 7,2,1,3,3,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,3,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,56,84,1,28,170
8x + 2,2,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,56,84,3,26,168
7x + 10,2,1,1,0,1,3,3,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,3,3,0,0,1,0,3,1,1,3,1,1,1,1,3,1,3,3,0,3,3,0,0,0,0,1,1,0,0,3,0,1,0,1,0,1,0,1,1,3,0,1,1,1,1,0,3,3,1,0,1,1,1,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,56,84,1,28,170
3x + 12,2,1,1,1,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,1,1,1,1,0,3,0,1,1,0,0,1,2,1,3,0,1,1,0,3,0,1,1,1,1,1,0,3,1,0,0,1,0,0,1,0,1,1,3,3,3,1,0,3,1,1,1,0,1,0,1,0,1,1,3,1,1,0,1,0,1,3,1,1,1,0,0,1,3,0,0,1,1,0,1,3,0,1,0,3,1,0,0,1,56,84,3,26,168
